#####################################################################################################
# NeXus source file: GlassyC
# NXdata: name = img{0}_azimuthalIntegration_Px_34                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              1.0
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.7221899117023785e-06
# GlobalNormalization                               1.0287749320728268
# AbsTimeStamps                                     nan
# TimeStamps                                        1.370973825454712
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)glassyC_00203{00000}_AzInt_Px_34         Sig(q)glassyC_00203{00000}_AzInt_Px_34       
0.016498894921707925               1120.795012093976                            1.279954356213169                            
0.016647532783081127               1121.9190569945702                           1.2599248681617679                           
0.016796170622079182               1120.5680652521878                           1.245640908215483                            
0.016944808438502313               1117.402241845973                            1.2546499273798026                           
0.01709344623215075                1119.7409936484462                           1.2390192617641536                           
0.017242084002824728               1116.082809546886                            1.2493906131076276                           
0.01739072175032447                1113.605379130984                            1.2160532600362128                           
0.017539359474450206               1114.832446213955                            1.2259695687975343                           
0.017687997175002166               1113.3146160059919                           1.2225939459558315                           
0.017836634851780577               1111.9655377458228                           1.2061293122978645                           
0.017985272504585672               1109.0552122825948                           1.2177329015420053                           
0.01813391013321768                1108.1250540255637                           1.1873818800473912                           
0.018282547737476833               1109.5292726577757                           1.2015776412491834                           
0.018431185317163357               1111.5917828237882                           1.1939355016100166                           
0.018579822872077482               1112.291010612921                            1.1834322959344934                           
0.01872846040201944                1118.4536747410332                           1.194467718509551                            
0.018877097906789472               1113.1431317053036                           1.19555763518593                             
0.019025735386187796               1113.5001313443165                           1.2235423016691398                           
0.019174372840014643               1109.9440531899177                           1.2042235824341496                           
0.01932301026807025                1122.8126872492248                           1.2144535183584426                           
0.019471647670154846               1112.3939387568716                           1.256397818183725                            
0.019620285046068664               1108.0130570585295                           1.2493700687651013                           
0.019768922395611937               1107.5021689319913                           1.27330225483245                             
0.019917559718584898               1105.1786727129088                           1.2559894714388904                           
0.020066197014787773               1104.3331837110984                           1.2811634680761563                           
0.0202148342840208                 1101.3266020969934                           1.299441845157004                            
0.020363471526084212               1099.7633954795947                           1.2736508454793574                           
