#####################################################################################################
# NeXus source file: 0V_00228
# NXdata: name = img{0}_azimuthalIntegration_Px_0                  
#
#
# Exposure_msec                                     500.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           0V
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               284.2472127246412
# _sas_detc.center_eq                               697.8954865887755
# _sas_detc.dist_spec/detc                          6041.10400611
# _sas_detc.energy                                  16.000151483577387
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             0.7748938241444641
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\PhD Nika\Soleil Runs\April 2025\20250420\2025\Run2\paineau\\mask_hamon_6m_ex_apr25.txt
# Normalization                                     true
# Normalization Factor                              1.0
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           8.61894197591152e-09
# GlobalNormalization                               0.002656891710795144
# AbsTimeStamps                                     nan
# TimeStamps                                        0.8205149173736572
# gapTime                                           1000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)0V_00228{00000}_AzInt_Px_0     Sig(q)0V_00228{00000}_AzInt_Px_0   
0.05013092716084124                66.58167465453798                  4.2279405685058435                 
0.05033225037910537                61.11604858163913                  4.0038454660516845                 
0.050533573527554436               61.10928534449843                  4.0120211365965055                 
0.05073489660590926                65.49548523685569                  4.150607729446337                  
0.05093621961389061                63.341877770730875                 4.0633833535453165                 
0.05113754255121928                70.76981948255971                  4.2831843232846145                 
0.05133886541761606                70.31691206215937                  4.2635890544051716                 
0.05154018821280174                69.80833886844358                  4.224992869305577                  
0.051741510936497086               71.9028856326051                   4.289366543704011                  
0.05194283358842292                78.97624939975282                  4.471149671910802                  
0.05214415616830002                76.44499590281697                  4.398915202887078                  
0.05234547867584916                77.73816721302067                  4.415231204131226                  
0.052546801110791165               68.57348658655273                  4.142675826361706                  
0.05274812347284679                79.76764051350881                  4.4591466648242974                 
0.05294944576173686                77.63941299402028                  4.367558209728547                  
0.05315076797718215                78.44841722078773                  4.406102079449867                  
0.05335209011890347                86.03522376787677                  4.585692834781642                  
0.053553412186621595               84.05382230676027                  4.538479807512267                  
0.05375473418005733                88.13610589323562                  4.632330881732798                  
0.05395605609893146                89.35349962875993                  4.664214714068019                  
0.054157377942964796               92.14586201284503                  4.745753340004639                  
0.054358699711878136               96.03650316980917                  4.819933928570003                  
0.05456002140539227                100.12045207711026                 4.8853778242846015                 
0.054761343023227986               91.09683991295738                  4.679330354332642                  
0.054962664565106095               86.75252924903803                  4.553326919528454                  
0.05516398603074739                96.42273622238866                  4.791284283773163                  
0.055365307419872695               100.20121527129231                 4.871949804541918                  
0.05556662873220278                95.21274915316731                  4.719520756420084                  
0.05576794996745844                95.74426315322269                  4.74004734576378                   
0.05596927112536051                90.73672341463708                  4.588753341342696                  
0.05617059220562978                101.85668645643692                 4.85582700003654                   
0.05637191320798704                111.35755719488415                 5.061707145222008                  
0.056573234132153115               99.73180759627172                  4.78727996003093                   
0.05677455497784878                102.1972340704511                  4.8446135156551655                 
0.05697587574479485                100.0116645350868                  4.767869031119271                  
0.057177196432712164               109.38925144704972                 4.977383285720802                  
0.05737851704132147                110.39111853821409                 5.0865542443711345                 
0.05757983757034363                101.23274595294596                 4.864935303153101                  
0.05778115801949941                99.29351028406468                  4.868264870303574                  
0.05798247838850963                117.2884263358294                  5.261104946321429                  
0.058183798677095125               99.21772519647799                  4.858712906799971                  
0.05838511888497667                94.52313795291924                  4.768061578615808                  
0.058586439011875074               102.30853023043501                 4.951056792996322                  
0.05878775905751118                101.99945566197627                 4.959383244308014                  
0.05898907902160577                95.71762043732555                  4.785881021866278                  
0.05919039890387967                100.29652111240323                 4.888153343043635                  
0.05939171870405368                95.48546378883981                  4.792278054806917                  
0.05959303842184862                106.45943846417772                 5.029735694496399                  
0.05979435805698531                92.14828919642487                  4.6721037250971555                 
0.059995677609184575               99.38391350232102                  4.884452872370436                  
0.06019699707816719                99.4648394692708                   4.841872628080874                  
0.060398316463654005               86.93756304501765                  4.55676645408239                   
0.060599635765365825               89.76680463191285                  4.586869446089282                  
0.06080095498302347                82.13911144009467                  4.422221105048579                  
0.061002274116347746               79.98153524870764                  4.356871846527403                  
0.061203593165059494               85.92787454427034                  4.528796634284953                  
0.06140491212887951                86.75580439176962                  4.516326779178238                  
0.06160623100752863                82.70731149208993                  4.408314514490045                  
0.061807549800727675               83.3315648539479                   4.441587330473926                  
0.06200886850819745                75.14031464692886                  4.220300527983375                  
0.062210187129658784               70.60664243099782                  4.062955712750362                  
0.062411505664832514               73.23030775089065                  4.132625348567747                  
0.06261282411343945                71.44123499896156                  4.090713216173103                  
0.06281414247520041                77.70967762147978                  4.258464101599021                  
0.06301546074983622                69.07530891937118                  4.014920778688389                  
0.06321677893706773                67.05163022844387                  3.9374073021565543                 
0.06341809703661572                64.20909686605172                  3.8649334510432136                 
0.06361941504820108                65.53435652997373                  3.9094519488293216                 
0.06382073297154459                62.427489147840134                 3.7992160016312218                 
0.06402205080636705                57.51748928318989                  3.6523642218486057                 
0.06422336855238936                64.20924744371905                  3.8649425147536816                 
0.06442468620933232                51.32935956175205                  3.4450010480127764                 
0.06462600377691674                54.995024754087474                 3.5647979822442957                 
0.06482732125486347                48.96837117530998                  3.347408940476207                  
0.06502863864289335                49.78925326326394                  3.3877295880333027                 
0.06522995594072721                49.177696473635066                 3.3617181232867335                 
0.06543127314808588                48.252652423731824                 3.3218495860939536                 
0.06563259026469015                45.406110086580036                 3.2106968349523637                 
0.06583390729026092                44.097146560125275                 3.1659906144604064                 
0.066035224224519                  42.327119169568896                 3.095265504144858                  
0.06623654106718521                38.25657141478262                  2.9515585636824824                 
0.06643785781798042                39.96755199722887                  3.004145170771361                  
0.06663917447662544                37.304689043116454                 2.895405401212611                  
0.06684049104284111                39.42139718616618                  2.979977522551347                  
0.06704180751634829                40.22618999370754                  3.006646604900379                  
0.0672431238968678                 36.29505153925603                  2.878384817692876                  
0.06744444018412045                34.05799211943737                  2.753425468723415                  
0.06764575637782716                32.116891909277804                 2.685749424539494                  
0.06784707247770871                29.575793592902148                 2.5742424108409763                 
0.06804838848348597                33.85308716312032                  2.7549251627121407                 
0.06824970439487976                23.484292625067468                 2.2918322885948044                 
0.06845102021161095                30.700913677977255                 2.6134353268638733                 
0.06865233593340038                27.18961308013667                  2.461631904817594                  
0.06885365155996886                30.659685547313043                 2.6194337130534806                 
0.06905496709103727                24.843316719163962                 2.3474727778900326                 
0.06925628252632648                24.94623387889757                  2.3571975354006125                 
0.0694575978655573                 29.092131464527927                 2.5417913277474278                 
0.06965891310845058                28.95548698839095                  2.5298526444353073                 
0.06986022825472717                28.375713324544524                 2.5080824140988636                 
0.07006154330410795                25.153626491641983                 2.3558529681897307                 
0.07026285825631373                22.23311562393314                  2.2122776900052243                 
0.07046417311106538                24.256855881961418                 2.312800461617211                  
0.07066548786808376                25.845914107211676                 2.389455604481789                  
0.07086680252708971                21.821610934686518                 2.182161093468652                  
0.0710681170878041                 21.805664346533927                 2.191551725511615                  
