<X> <Y> <dY>
1.558895096935328e-02 1.055416012011175e+01 2.857751448960249e-02
1.573741642693332e-02 1.027281064322959e+01 2.819403903515352e-02
1.588588186341031e-02 1.024792568369760e+01 2.792277763933981e-02
1.603434727858518e-02 1.066182505428809e+01 2.824525205968907e-02
1.618281267225884e-02 1.122041405667157e+01 2.932963006627870e-02
1.633127804423223e-02 1.204527857615381e+01 2.979934856632019e-02
1.647974339430625e-02 1.302872495477990e+01 3.094630446318873e-02
1.662820872228182e-02 1.421167833672315e+01 3.217882377080352e-02
1.677667402795988e-02 1.546389229849553e+01 3.337225865642982e-02
1.692513931114134e-02 1.680163904056889e+01 3.481093049500595e-02
1.707360457162713e-02 1.829995658095215e+01 3.571588510163562e-02
1.722206980921815e-02 1.973929250166433e+01 3.770440723614361e-02
1.737053502371535e-02 2.123776615392054e+01 3.828937323396800e-02
1.751900021491964e-02 2.276387231566993e+01 3.945069647376846e-02
1.766746538263194e-02 2.428383966521334e+01 4.102848781874579e-02
1.781593052665317e-02 2.559742105083403e+01 4.152236950298389e-02
1.796439564678426e-02 2.706440755176633e+01 4.301609730064902e-02
1.811286074282614e-02 2.843000996627979e+01 4.355428892330827e-02
1.826132581457971e-02 2.972826621168587e+01 4.430137045012051e-02
1.840979086184591e-02 3.090861532080687e+01 4.517229890587022e-02
1.855825588442566e-02 3.191379047486430e+01 4.545224827203360e-02
1.870672088211989e-02 3.294982007185570e+01 4.639522205779206e-02
1.885518585472951e-02 3.375457399858387e+01 4.733156426713859e-02
1.900365080205546e-02 3.459394360256574e+01 4.836880607792819e-02
1.915211572389865e-02 3.519268477245866e+01 4.885183193794279e-02
1.930058062006001e-02 3.571218989168324e+01 4.951475650920229e-02
1.944904549034047e-02 3.606078055511873e+01 5.088840300733795e-02
1.959751033454094e-02 3.630623618494813e+01 5.113493529761406e-02
1.974597515246237e-02 3.655292660766341e+01 5.233807291075946e-02
1.989443994390566e-02 3.661320655798671e+01 5.273877223513732e-02
2.004290470867175e-02 3.652469997936463e+01 5.271512955678367e-02
2.019136944656156e-02 3.621041889865099e+01 5.272954429528794e-02
2.033983415737602e-02 3.597844527799034e+01 5.292808199431077e-02
2.048829884091604e-02 3.563877611269956e+01 5.300948242963931e-02
2.063676349698258e-02 3.507825105044216e+01 5.238448861852835e-02
2.078522812537653e-02 3.459619152600348e+01 5.268816703636957e-02
2.093369272589884e-02 3.379869723769644e+01 5.211927562354343e-02
2.108215729835043e-02 3.302857608035598e+01 5.156361135480410e-02
2.123062184253223e-02 3.213246164434783e+01 5.127449390033285e-02
2.137908635824515e-02 3.132035798526431e+01 5.049838372557448e-02
2.152755084529015e-02 3.043609110974918e+01 4.994364146695655e-02
2.167601530346813e-02 2.940421267190672e+01 4.937430565934778e-02
2.182447973258003e-02 2.830276988540243e+01 4.880694783352219e-02
2.197294413242678e-02 2.727123880865702e+01 4.751036430810518e-02
2.212140850280929e-02 2.616232655663000e+01 4.600343280178171e-02
2.226987284352852e-02 2.513539461097638e+01 4.501862523661249e-02
2.241833715438537e-02 2.403336883555556e+01 4.325866061581061e-02
2.256680143518079e-02 2.279275947564623e+01 4.225942212485143e-02
2.271526568571569e-02 2.167826707518453e+01 4.055031292881218e-02
2.286372990579102e-02 2.053922328686728e+01 3.902827992198703e-02
2.301219409520770e-02 1.939388067665629e+01 3.826719461361722e-02
2.316065825376665e-02 1.818161684266001e+01 3.647700047635827e-02
2.330912238126882e-02 1.707914184810234e+01 3.577593760866566e-02
2.345758647751513e-02 1.597782805195181e+01 3.384927952228249e-02
2.360605054230651e-02 1.494085730360763e+01 3.316409503825152e-02
2.375451457544390e-02 1.377977360318571e+01 3.168626546270831e-02
2.390297857672821e-02 1.277895086756908e+01 2.997186646937935e-02
2.405144254596040e-02 1.180028027075272e+01 2.913143323227844e-02
2.419990648294138e-02 1.083889695750034e+01 2.768124902261097e-02
2.434837038747209e-02 9.984285274305487e+00 2.664314492347145e-02
2.449683425935346e-02 9.140959276593184e+00 2.542079643589184e-02
2.464529809838643e-02 8.291464757850783e+00 2.376070502716987e-02
2.479376190437193e-02 7.522994449485363e+00 2.304524921766938e-02
2.494222567711088e-02 6.801926953959529e+00 2.157983044192834e-02
2.509068941640423e-02 6.153997155051260e+00 2.072628665569992e-02
2.523915312205290e-02 5.575111461659569e+00 1.949697246127050e-02
2.538761679385784e-02 5.016515636049903e+00 1.845667323288494e-02
2.553608043161997e-02 4.498852787031674e+00 1.753822088024439e-02
2.568454403514022e-02 4.035883592127270e+00 1.648755863065626e-02
2.583300760421955e-02 3.628307104956561e+00 1.570725152534010e-02
2.598147113865888e-02 3.271664585257102e+00 1.473573295591615e-02
2.612993463825913e-02 2.978912794178778e+00 1.411743593661447e-02
2.627839810282126e-02 2.705651830813074e+00 1.348149208614961e-02
2.642686153214619e-02 2.517407828320878e+00 1.284090950904951e-02
2.657532492603487e-02 2.328357292560757e+00 1.233316904836675e-02
2.672378828428821e-02 2.186568087741089e+00 1.192835186891567e-02
2.687225160670718e-02 2.107009216525525e+00 1.179421419999828e-02
2.702071489309268e-02 2.069298273072176e+00 1.163445489271198e-02
2.716917814324569e-02 2.044032189921857e+00 1.144384505371398e-02
2.731764135696711e-02 2.056503973790267e+00 1.157570086257819e-02
2.746610453405790e-02 2.089276092431289e+00 1.156238939145839e-02
2.761456767431899e-02 2.139486282362697e+00 1.166317983297393e-02
2.776303077755132e-02 2.240922937116611e+00 1.198234588146017e-02
2.791149384355582e-02 2.360616196858080e+00 1.219683905178252e-02
2.805995687213344e-02 2.487739456732212e+00 1.256065672024331e-02
2.820841986308512e-02 2.630470849782345e+00 1.289958041723034e-02
2.835688281621178e-02 2.847662629954278e+00 1.332897298257702e-02
