#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_22                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.3550127803547397e-06
# GlobalNormalization                               31.483329301987705
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3956758975982666
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)ctac1mm_00191{00000}_AzInt_Px_22         Sig(q)ctac1mm_00191{00000}_AzInt_Px_22       
0.03388932089957531                0.0442680395678638                           0.0012417023818215088                        
0.03403795478746278                0.04281888206585442                          0.00122389628194633                          
0.03418658862960341                0.04241122043932592                          0.001222778957272481                         
0.034335222425797444               0.04267771271241056                          0.001241870145544121                         
0.034483856175845165               0.044514600356924686                         0.0012844907319298135                        
0.03463248987954682                0.04467099344333202                          0.0012890035315150598                        
0.034781123536702666               0.04356694284981538                          0.001285837661761149                         
0.03492975714711298                0.044659252534266405                         0.001299530572745366                         
0.03507839071057801                0.045464624285603904                         0.001275266147205592                         
0.03522702422689801                0.042812941120003147                         0.0012473904602788234                        
0.03537565769587327                0.04269453855449983                          0.001228906068928085                         
0.03552429111730402                0.04261347346336915                          0.0012311714227914077                        
0.035672924490990535               0.046650805302991205                         0.0012767871767427907                        
0.03582155781673309                0.0471623160625772                           0.0012774596651851395                        
0.03597019109433192                0.04373374338186374                          0.0012444663946615316                        
0.03611882432358732                0.04527123136173205                          0.0012394938963932035                        
0.03626745750429954                0.044829818511684924                         0.0012447925849867897                        
0.03641609063626884                0.04411179245259864                          0.0012215631120175402                        
0.03656472371929549                0.04185288034212947                          0.0011943350244368563                        
0.03671335675317976                0.04314802110651172                          0.0012126738976966575                        
0.0368619897377219                 0.04423637395034521                          0.0012161848765811789                        
0.03701062267272219                0.04405408382584388                          0.0012162399266792887                        
0.03715925555798089                0.04367216022059729                          0.0012103171368218876                        
0.03730788839329828                0.043166466645715405                         0.0012013882502615492                        
0.037456521178474596               0.04355632259686701                          0.0012011253399428121                        
0.03760515391331015                0.04608159063319398                          0.0012259037699919382                        
