#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3769869804382324
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_69
# img{1}_AzInt_Px_70
# img{2}_AzInt_Px_71
# img{3}_AzInt_Px_72
# img{4}_AzInt_Px_73
#
#####################################################################################################
q(A-1)                             I(q)Ave_114_OC0P05_00008AzInt_Px   Sig(q)Ave_114_OC0P05_00008AzInt_Px 
0.026872251606707177               1.2519374324161734                 0.02052908369155327                
0.027020714893092684               1.259787905478656                  0.02049858913828425                
0.027169178143245695               1.2397907185942718                 0.020125307252980847               
0.02731764135696711                1.2176429699934972                 0.020113284887636897               
0.027466104534057904               1.1866401334102572                 0.019676480070684326               
0.027614567674318996               1.2056768385854615                 0.019770509306027476               
0.027763030777551316               1.2015671652659774                 0.019812634051432444               
0.02791149384355582                1.2136532855665325                 0.019747911441626                  
0.028059956872133442               1.1735052894068563                 0.019480118545649776               
0.028208419863085102               1.2234393424550234                 0.019865113440672107               
0.028356882816211775               1.1693943221175445                 0.019287380904556867               
0.028505345731314382               1.1455279686405284                 0.019089482909724512               
0.028653808608193856               1.157598637211328                  0.019165961916132505               
0.02880227144665114                1.1930259449818619                 0.019469058299607163               
0.028950734246487187               1.1822368249635955                 0.019380932840409777               
0.029099197007502926               1.1922806775623562                 0.019212849251264322               
0.0292476597294993                 1.1564958364848144                 0.019038420660247517               
0.02939612241227725                1.1653551658386476                 0.01899474756918789                
0.02954458505563771                1.1173988932064052                 0.01863367099045822                
0.02969304765938165                1.145361501048888                  0.0187738967419897                 
0.029841510223309987               1.1084427282044362                 0.01846891713041391                
0.029989972747223665               1.1566465350100654                 0.01890056466136896                
0.03013843523092363                1.1533525075114266                 0.018794117374294973               
0.030286897674210833               1.098304878717571                  0.01814450848788759                
0.0304353600768862                 1.1490262335599508                 0.018736061566625644               
0.03058382243875071                1.132182450854747                  0.018520593430936205               
0.030732284759605266               1.1272275215801173                 0.01839284120049358                
0.03088074703925083                1.1385812103623958                 0.018550953276494527               
0.031029209277488357               1.1387073040360556                 0.01835669968879459                
0.03117767147411878                1.1854520482196365                 0.01882856391150814                
0.03132613362894304                1.1196001334884973                 0.018212708011124047               
0.03147459574176209                1.1500842874887043                 0.018416088542545495               
0.03162305781237687                1.129411983362305                  0.018271066604312977               
0.03177151984058835                1.1194243153762053                 0.018064633379498176               
0.031919981826197444               1.0948886320631153                 0.018031564343284512               
0.03206844376900511                1.112231419055848                  0.017904318637151227               
0.03221690566881231                1.086342302035217                  0.017664687413990382               
0.03236536752541998                1.1125333803126654                 0.018019246754692436               
0.032513829338629056               1.143652766193681                  0.018134952283881293               
0.03266229110824052                1.0895797971412065                 0.017842794744854222               
0.032810752834055275               1.1228860579803503                 0.017819100374074564               
0.032959214515874316               1.1087880398748646                 0.017766211601064626               
0.03310767615349855                1.086787176315448                  0.017688298370903972               
0.033256137746728975               1.1095826107606928                 0.01768385573558539                
0.033404599295366495               1.0794843571503532                 0.017451947547428306               
0.03355306079921208                1.055294498742512                  0.017207668674090553               
0.03370152225806669                1.0818188630742134                 0.017718078678988784               
0.033849983671731254               1.135407330231973                  0.01825612036231092                
0.03399844504000674                1.0588115786456085                 0.017763195954166366               
0.034146906362694095               1.0653740061101453                 0.0179339640722693                 
0.03429536763959428                1.0789878801551682                 0.018233016476110055               
0.03444382887050824                1.0775840252810391                 0.018101072878179893               
0.034592290055236924               1.0816074365208146                 0.017849183609864656               
0.03474075119358127                1.0879719707996822                 0.017738150683711422               
0.034889212285342266               1.0704947877317177                 0.017525562295270844               
0.03503767333032085                1.0889031427259295                 0.01764577793359779                
0.03518613432831797                1.0810462742425389                 0.017523058913649598               
0.03533459527913459                1.099644247920529                  0.0175656652947033                 
0.035483056182571665               1.095744153967748                  0.01760245880927896                
0.03563151703843015                1.053595366323806                  0.01711862566528387                
0.03577997784651099                1.0864773933090333                 0.017393103835955902               
0.03592843860661516                1.0413988633098832                 0.016936114780849956               
0.0360768993185436                 1.0620505111580876                 0.01704799777959296                
0.03622535998209726                1.077342387862994                  0.0172446546220703                 
0.036373820597077125               1.0829082085891422                 0.01715017502522991                
0.036522281163284126               1.0226531921421393                 0.016737840017810434               
0.036670741680519245               1.069209066438765                  0.016933219693566558               
0.03681920214858341                1.0525146827432645                 0.016782869538059377               
0.036967662567277605               1.07837432401591                   0.01708694470485557                
0.0371161229364028                 1.060421977867334                  0.01676674478797329                
0.0372645832557599                 1.0571985228379255                 0.016846850448290346               
0.037413043525149924               1.0166561282520914                 0.016503202207974663               
0.03756150374437381                1.0570076544297222                 0.016635995194271853               
0.037709963913232517               1.0754458585202862                 0.01683263401371149                
0.037858424031527                  1.0468263108430649                 0.016488010641896766               
0.03800688409905824                1.0596962710889115                 0.016778356409867513               
0.03815534411562716                1.0558400460848976                 0.016541985900784796               
0.03830380408103477                1.0529776835926583                 0.016519457606924713               
0.03845226399508201                1.0332243314698233                 0.016330589339647213               
0.03860072385756984                1.010838509102931                  0.01608767318850688                
0.03874918366829922                1.0468441395879253                 0.0164212118850767                 
0.03889764342707114                1.0501585269764118                 0.016307518280522595               
