#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.4355149269104004
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_104
# img{1}_AzInt_Px_105
# img{2}_AzInt_Px_106
# img{3}_AzInt_Px_107
# img{4}_AzInt_Px_108
#
#####################################################################################################
q(A-1)                             I(q)Ave_121_PR32M_00015AzInt_Px    Sig(q)Ave_121_PR32M_00015AzInt_Px  
0.02731764135696711                173.03229663695325                 0.2422143267793604                 
0.027466104534057904               176.91831353333885                 0.2427116069954597                 
0.027614567674318996               180.47162020827554                 0.24435466257364352                
0.027763030777551316               183.76810337635575                 0.24752429421664712                
0.02791149384355582                187.1945015555922                  0.24776243536941772                
0.028059956872133442               189.72615137805147                 0.2502232140250148                 
0.028208419863085102               192.73170118150597                 0.2518778848803861                 
0.028356882816211775               194.81899783456558                 0.2514909475414474                 
0.028505345731314382               196.50883409017172                 0.2525793214187089                 
0.028653808608193856               198.47290919802577                 0.253521977940134                  
0.02880227144665114                200.02914690377918                 0.2546728860652149                 
0.028950734246487187               201.75259373735736                 0.25576771938597886                
0.029099197007502926               201.93988151719932                 0.25259639532281597                
0.0292476597294993                 202.93919103825138                 0.2547750800336745                 
0.02939612241227725                203.39687097140188                 0.2535062538740605                 
0.02954458505563771                203.67678529544042                 0.2541448743758234                 
0.02969304765938165                203.7859146937036                  0.2529808317800847                 
0.029841510223309987               203.15321387716182                 0.2525872918082409                 
0.029989972747223665               202.1161748625937                  0.2524000328967824                 
0.03013843523092363                201.87669381346737                 0.25118563383173503                
0.030286897674210833               201.20419884516895                 0.24809471234129674                
0.0304353600768862                 199.64984479038782                 0.24949701270896033                
0.03058382243875071                197.87527052015963                 0.24734833579053164                
0.030732284759605266               196.6357535226557                  0.24540656292368293                
0.03088074703925083                194.12161909958058                 0.24470020316344815                
0.031029209277488357               192.55524987799487                 0.24114701071202443                
0.03117767147411878                190.33771795046923                 0.24101878766686619                
0.03132613362894304                187.32186782814242                 0.23798557380090846                
0.03147459574176209                185.04766374739765                 0.23598794316083263                
0.03162305781237687                182.22630446954008                 0.2344538355020173                 
0.03177151984058835                179.19786440720378                 0.23089420375509243                
0.031919981826197444               176.522428720869                   0.23129311240545108                
0.03206844376900511                173.4061700332009                  0.2258426859789558                 
0.03221690566881231                169.68300965398808                 0.22302647615252794                
0.03236536752541998                166.20260810205522                 0.2224922261490771                 
0.032513829338629056               162.96791019253473                 0.21869250518622613                
0.03266229110824052                159.70344990099312                 0.21822397113942288                
0.032810752834055275               155.90262582950214                 0.2121090449965223                 
0.032959214515874316               152.4621376598261                  0.21045819341321606                
0.03310767615349855                148.4077085854433                  0.2088122971163739                 
0.033256137746728975               144.4834807755347                  0.20385419245847664                
0.033404599295366495               140.52926071801127                 0.2011566945286884                 
0.03355306079921208                136.89509393361922                 0.19799088463357264                
0.03370152225806669                132.35530171202404                 0.19798204589962046                
0.033849983671731254               128.8023450548707                  0.19642942300574362                
0.03399844504000674                125.12724889192323                 0.19507523529967352                
0.034146906362694095               120.76784697670146                 0.19289296041862278                
0.03429536763959428                116.70779968021057                 0.1915642066897298                 
0.03444382887050824                112.85752825796672                 0.1871362927388373                 
0.034592290055236924               108.96993082996089                 0.18098859371346648                
0.03474075119358127                105.313628168123                   0.1763017655404421                 
0.034889212285342266               101.24702740277239                 0.17218073742401546                
0.03503767333032085                97.65815982657054                  0.1688166976993572                 
0.03518613432831797                93.95388456381406                  0.16502869978018142                
0.03533459527913459                89.99210807838938                  0.1605294349416573                 
0.035483056182571665               86.59328571000009                  0.15807971972697432                
0.03563151703843015                82.83922969397113                  0.1533430070598899                 
0.03577997784651099                79.22052713305412                  0.1500379158286527                 
0.03592843860661516                75.69302919605687                  0.14586386541658064                
0.0360768993185436                 72.39102428529874                  0.14218594387343525                
0.03622535998209726                68.98508430387331                  0.13940175228398383                
0.036373820597077125               65.87767701001626                  0.1351310279998341                 
0.036522281163284126               62.478078547300655                 0.13216381073921865                
0.036670741680519245               59.677635663524214                 0.1277994300569324                 
0.03681920214858341                56.51716981074604                  0.12423856249767844                
0.036967662567277605               53.9689744245013                   0.12211372227846704                
0.0371161229364028                 51.03963272181629                  0.11751001028435608                
0.0372645832557599                 48.18798558831                     0.11490025694699017                
0.037413043525149924               45.52542434557078                  0.1115632441945659                 
0.03756150374437381                43.216790115553714                 0.10746098888839188                
0.037709963913232517               40.69373659136081                  0.10460016872391804                
0.037858424031527                  38.49937752944119                  0.1010114386312172                 
0.03800688409905824                36.338109340870474                 0.09925563471351279                
0.03815534411562716                34.08745613410094                  0.09495083573502638                
0.03830380408103477                32.249487897117845                 0.09235507085016045                
0.03845226399508201                30.23375080674653                  0.08924110279430167                
0.03860072385756984                28.685709777923126                 0.08657577911522378                
0.03874918366829922                26.645443559852527                 0.08369316395693123                
0.03889764342707114                25.24880224595099                  0.08077813700408251                
0.03904610313368653                23.7661274211902                   0.07848786302100065                
0.03919456278794636                22.35732014290112                  0.07563693829859923                
0.03934302238965162                21.156380669691252                 0.07328893500068581                
0.039491481938603266               20.057444099452074                 0.07142998911984093                
0.039639941434602255               18.86455804317584                  0.06877053016670034                
