#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.4075279235839844
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_94
# img{1}_AzInt_Px_95
# img{2}_AzInt_Px_96
# img{3}_AzInt_Px_97
# img{4}_AzInt_Px_98
#
#####################################################################################################
q(A-1)                             I(q)Ave_119_PR8PLD_00013AzInt_Px   Sig(q)Ave_119_PR8PLD_00013AzInt_Px 
0.027020714893092684               233.53296989994888                 0.2814478227549688                 
0.027169178143245695               217.29213195178818                 0.26868263071142207                
0.02731764135696711                201.14773326826673                 0.26069256006570013                
0.027466104534057904               186.82796971783992                 0.2489769682609099                 
0.027614567674318996               172.04813776555997                 0.23816386535830225                
0.027763030777551316               159.09608923559142                 0.2299042557189503                 
0.02791149384355582                147.0170370869323                  0.219183156017569                  
0.028059956872133442               135.6055793802096                  0.21117235488851374                
0.028208419863085102               124.94597091004039                 0.20244573009468816                
0.028356882816211775               114.74767652069231                 0.1926695561156955                 
0.028505345731314382               106.00487623496436                 0.18518419997643965                
0.028653808608193856               97.20899803401015                  0.17711392693181066                
0.02880227144665114                89.33014438551956                  0.16989013027382846                
0.028950734246487187               81.97106765645096                  0.1627424163846154                 
0.029099197007502926               75.38193974949186                  0.15405786325114584                
0.0292476597294993                 69.30670724395677                  0.14862640136619906                
0.02939612241227725                63.68697734075256                  0.14160438862335983                
0.02954458505563771                58.50688967474198                  0.13597187084472712                
0.02969304765938165                54.27770836997348                  0.13033048762513758                
0.029841510223309987               50.15980914881078                  0.12528849500440514                
0.029989972747223665               46.58570514490865                  0.12096237043562899                
0.03013843523092363                43.50850574280712                  0.11640585151745393                
0.030286897674210833               40.91783379848043                  0.11168413251880709                
0.0304353600768862                 38.423533448589055                 0.10926020512283999                
0.03058382243875071                36.47098993080675                  0.10600384698536573                
0.030732284759605266               35.05232850993176                  0.103430350066173                  
0.03088074703925083                33.8168080826225                   0.10195280231611921                
0.031029209277488357               32.931036475877534                 0.09955007036196323                
0.03117767147411878                32.43457127420787                  0.09931757299889683                
0.03132613362894304                32.23497477829129                  0.09854942938928801                
0.03147459574176209                32.00649385228425                  0.09797186019000106                
0.03162305781237687                32.334121679169286                 0.09858660342924762                
0.03177151984058835                32.61516521540929                  0.09833091642137401                
0.031919981826197444               33.56397465749768                  0.10067802391221943                
0.03206844376900511                34.382031787701195                 0.10038612193989878                
0.03221690566881231                35.40525792582015                  0.10169652303352099                
0.03236536752541998                36.63708533623787                  0.10427773806709406                
0.032513829338629056               37.91316229477083                  0.10529615825423347                
0.03266229110824052                39.72277162139763                  0.10864261953873247                
0.032810752834055275               41.43454627792827                  0.10915636953415105                
0.032959214515874316               43.03276310376435                  0.11161474194733509                
0.03310767615349855                44.97750299855801                  0.11475207710542204                
0.033256137746728975               47.02437198654283                  0.11609339014627681                
0.033404599295366495               49.05663356752117                  0.11864123192758805                
0.03355306079921208                51.50124729584719                  0.12122583540432721                
0.03370152225806669                53.72263080092559                  0.12591268610842965                
0.033849983671731254               55.73666474628986                  0.1289883869938872                 
0.03399844504000674                58.3506509538355                   0.13297943866680478                
0.034146906362694095               60.84485724799576                  0.1366749385419394                 
0.03429536763959428                62.978032104169735                 0.1404735959035491                 
0.03444382887050824                65.62294693067886                  0.14244782217237445                
0.034592290055236924               68.0064731777617                   0.14272795082250328                
0.03474075119358127                70.54884301364346                  0.14404367156125342                
0.034889212285342266               73.19668153457944                  0.14614176710599985                
0.03503767333032085                75.6712978495078                   0.14834101597991273                
0.03518613432831797                78.0143800293109                   0.1501152557563266                 
0.03533459527913459                80.55213289511678                  0.1516095721424999                 
0.035483056182571665               82.90904784262781                  0.1544084165997871                 
0.03563151703843015                85.32933917688263                  0.15535690573164093                
0.03577997784651099                87.53203060587673                  0.15743516579489375                
0.03592843860661516                90.10559666725302                  0.15886614722103243                
0.0360768993185436                 92.02284193080396                  0.16002874103945247                
0.03622535998209726                94.46915575891374                  0.16284363963627774                
0.036373820597077125               96.60265933741812                  0.1633488986672541                 
0.036522281163284126               98.76529060713484                  0.1658770164097593                 
0.036670741680519245               100.73555200636164                 0.16574865446018203                
0.03681920214858341                102.58781675510083                 0.16708993223371685                
0.036967662567277605               104.42610767592141                 0.16956372796675406                
0.0371161229364028                 106.19027812466297                 0.16919960166354386                
0.0372645832557599                 107.95277993619104                 0.17167458812587824                
0.037413043525149924               109.66420825296515                 0.17284722326072363                
0.03756150374437381                111.12816851204202                 0.17201694422223046                
0.037709963913232517               112.60181636896098                 0.17369064851664376                
0.037858424031527                  114.51880515432026                 0.1739077960773649                 
0.03800688409905824                115.49538921620005                 0.17664136715837062                
0.03815534411562716                116.78937468067488                 0.17544405183205283                
0.03830380408103477                118.14620644759194                 0.17646007952984635                
0.03845226399508201                119.23086102449591                 0.17690833991119762                
0.03860072385756984                120.05227326191337                 0.17680149930355993                
0.03874918366829922                121.11095042205054                 0.1781176008589387                 
0.03889764342707114                121.69590412619183                 0.17703041385607327                
0.03904610313368653                122.4823621954935                  0.1778675993462486                 
0.03919456278794636                123.29965817691232                 0.17731377587416622                
0.03934302238965162                123.72894856056014                 0.17692577105502805                
