#####################################################################################################
# NeXus source file: References Rack 2 MIC AM Averaged
# NXdata: name = img{1}_azimuthalIntegration_Px_105                
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.00046066252769
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.03316188591951
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\JT Raw and Compiled Data\SAXS Data\SWING Apr 2026 Photo-DISA\20251558\published-data\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              0.72
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           9.318324804689204e-07
# GlobalNormalization                               0.7713290194423446
# AbsTimeStamps                                     nan
# TimeStamps                                        4.533208131790161
# gapTime                                           2000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)PR32M_00015{00001}_AzInt_Px_105          Sig(q)PR32M_00015{00001}_AzInt_Px_105        
0.022269872843528517               28.135292225410755                           0.24275317729163234                          
0.022418337154385373               26.07947339720405                            0.2296703778185142                           
0.02256680143518079                24.205902832209162                           0.22196043954037808                          
0.02271526568571569                24.182113658797096                           0.21828248584067522                          
0.02286372990579102                24.573611220174474                           0.21757637046196604                          
0.0230121940952077                 25.519894461380375                           0.22372964605664677                          
0.023160658253766654               26.92596771962411                            0.22624467266422194                          
0.023309122381268824               29.435823020435993                           0.23937893276874575                          
0.023457586477515134               31.54612229061765                            0.24241159106934512                          
0.02360605054230651                35.16593585877644                            0.25931719485769233                          
0.0237545145754439                 38.38566436922145                            0.26954071690643744                          
0.02390297857672821                41.991785757382495                           0.2769097158671096                           
0.0240514425459604                 45.82564600013747                            0.2925902309828694                           
0.024199906482941378               51.018707285909024                           0.30608898183675237                          
0.02434837038747209                55.583058098820956                           0.3203967102738568                           
0.024496834259353457               60.07400295858521                            0.3321439795186747                           
0.02464529809838643                65.07417115350526                            0.3392640553386212                           
0.024793761904371926               70.5132410043276                             0.35959298414266466                          
0.02494222567711088                76.16248931013529                            0.36803781557514037                          
0.025090689416404226               81.21509225819365                            0.38375235966922194                          
0.025239153122052903               86.44553812277547                            0.39129250129458093                          
0.025387616793857842               91.20815772592707                            0.4011058657736155                           
0.025536080431619968               97.11657220822232                            0.41530881580391843                          
0.025684544035140224               102.82578690237132                           0.42415822335481757                          
0.025833007604219554               107.84784842166938                           0.43645930266738575                          
0.02598147113865888                112.40233405097533                           0.44021501747757735                          
0.026129934638259134               117.57477816805485                           0.452036858353439                            
0.026278398102821256               122.88480949414922                           0.46306391536872893                          
0.026426861532146195               127.58788243589227                           0.465922350442142                            
0.026575324926034868               131.84088866806246                           0.47300394832117487                          
0.02672378828428821                136.61775278537397                           0.4805541596072438                           
0.026872251606707177               140.09248289323725                           0.4901545547170279                           
0.027020714893092684               144.34841997394415                           0.49525668101891246                          
0.02716917814324569                147.48006255876408                           0.495432614806847                            
0.027317641356967112               152.17998317999383                           0.5075176119321125                           
0.027466104534057904               155.9261266853809                            0.509095141515949                            
0.027614567674318996               158.63920185469377                           0.5118672104307216                           
0.027763030777551316               161.19424235053737                           0.5179561410788325                           
0.02791149384355582                164.06021182527857                           0.518234198346668                            
0.028059956872133442               167.00533016140673                           0.524523437532624                            
0.028208419863085112               169.25229494811157                           0.5273706471429614                           
0.028356882816211775               171.8194424642432                            0.5276894427396703                           
0.028505345731314382               173.2699677485965                            0.5299122685248557                           
0.028653808608193856               174.19748641519055                           0.530665865796123                            
0.02880227144665114                175.303639081075                             0.5326803522263711                           
0.028950734246487184               177.45969033359194                           0.5359461403027888                           
0.029099197007502926               177.5900683418296                            0.5292502237737663                           
0.0292476597294993                 178.49665957994648                           0.5338567399887304                           
0.02939612241227725                179.35199465843326                           0.5318693593504997                           
0.02954458505563771                179.20642443700282                           0.5326263996365848                           
0.02969304765938165                178.24738801356116                           0.5286238603697622                           
0.029841510223309987               178.0985178229589                            0.5284031586511766                           
0.029989972747223665               177.8139518697082                            0.5289412006365604                           
0.03013843523092363                178.00430166682483                           0.5269906391823665                           
0.030286897674210833               176.85856934773562                           0.5196936995760238                           
0.030435360076886207               175.04005704916014                           0.5219567819426981                           
0.03058382243875071                173.78056100436308                           0.5179041089998061                           
0.030732284759605266               172.8016731948001                            0.514001667566374                            
0.03088074703925083                170.73176693455756                           0.5127311284496235                           
0.031029209277488357               169.49662199923304                           0.5054985823593671                           
0.031177671474118773               167.40122674915494                           0.5050138204238295                           
0.03132613362894304                164.77968669934285                           0.4987053892984408                           
0.03147459574176209                162.87271837286707                           0.49466099154510257                          
0.03162305781237687                160.04521068138126                           0.49091775234364965                          
0.03177151984058834                157.48593580747297                           0.48361840497819125                          
