#####################################################################################################
# NeXus source file: Cycling 9 MIC AM PR8 50 mM 8A2 P1
# NXdata: name = img{0}_azimuthalIntegration_Px_333                
#
#
# Exposure_msec                                     500.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           15
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               288.1755905205494
# _sas_detc.center_eq                               956.9347235815438
# _sas_detc.dist_spec/detc                          6144.32372053
# _sas_detc.energy                                  12.000468596696937
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331612028394122
# _sas_detc.bias                                    0
# _sas_detc.mask                                    D:\JT Raw and Compiled Data\SAXS Data\SWING Apr 2026 Photo-DISA\20251558\published-data\mask_trazo_6m_april26.txt
# Normalization                                     true
# Normalization Factor                              0.72
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.0778130664064359e-06
# GlobalNormalization                               0.44608259160223107
# AbsTimeStamps                                     nan
# TimeStamps                                        0.9163818359375
# gapTime                                           1000.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)PR8_50mM8A2_01280{00000}_AzInt_Px_333    Sig(q)PR8_50mM8A2_01280{00000}_AzInt_Px_333  
0.007571795446681233               2290.2239661836597                           4.136863750869001                            
0.007720261846347985               2226.3451424912246                           3.999556502091439                            
0.007868728235662181               2167.442118072997                            3.9462933430078637                           
0.008017194614424732               2102.4011421134446                           3.8198777066536955                           
0.00816566098243655                2051.3428680736592                           3.7105547504176672                           
0.008314127339498557               1986.8071817007544                           3.6462666749876225                           
0.00846259368541166                1930.4442156526773                           3.52640346254537                             
0.008611060019976776               1877.902419483248                            3.5187634129056553                           
0.008759526342994818               1829.0817639077977                           3.384294005773505                            
0.008907992654266703               1778.525400687863                            3.3279121011148742                           
0.009056458953593341               1726.0213238394463                           3.247006298172713                            
0.00920492524077565                1677.5962592436429                           3.15421238905366                             
0.009353391515614545               1633.434713520683                            3.1416447071116442                           
0.009501857777910936               1593.0606487309606                           3.033845425569824                            
0.009650324027465742               1546.4386040331156                           2.9738324104654543                           
0.009798790264079876               1506.413927639435                            2.9128883133513175                           
0.009947256487554252               1461.32740058449                             2.833589379442897                            
0.010095722697689791               1430.9945280524357                           2.8178739616406854                           
0.0102441888942874                 1391.6584419321857                           2.715747773430315                            
0.010392655077147999               1347.067493643583                            2.704039092128589                            
0.010541121246072503               1314.8654916444825                           2.6151425660829886                           
0.010689587400861829               1276.2610374852484                           2.547087294668612                            
0.010838053541316887               1244.742180264268                            2.5327275339311757                           
0.010986519667238596               1210.5885268226052                           2.4449150607031362                           
0.011134985778427874               1178.728469228161                            2.4313449499187367                           
0.011283451874685635               1150.09967955558                             2.3623282151177736                           
0.011431917955812792               1121.5157867085316                           2.3079436957803425                           
0.011580384021610267               1088.33292462345                             2.300509148370597                            
0.011728850071878972               1057.9947643412588                           2.2136688423731794                           
0.011877316106419823               1032.0463080428121                           2.1840990390454493                           
0.012025782125033744               1002.9337537352526                           2.133370500143009                            
0.01217424812752164                977.4976954232665                            2.09556562573471                             
0.012322714113684435               956.8374727414489                            2.083767753059187                            
0.012471180083323046               925.9428965891209                            2.0018012422659597                           
0.012619646036238389               902.9278140278042                            1.9863766346695633                           
0.012768111972231379               876.2374722901395                            1.925159754902025                            
0.012916577891102935               855.2371364060692                            1.9128083704168484                           
0.013065043792653976               830.8475446945349                            1.8711074154308245                           
0.013213509676685414               808.6633806480244                            1.8188107370853779                           
0.013361975542998174               784.7947343016507                            1.796692371562755                            
0.013510441391393171               767.1515801954417                            1.7587218779932376                           
0.01365890722167132                742.3079730048651                            1.733130183109156                            
0.013807373033633542               724.7384762592401                            1.686811862510485                            
0.013955838827080755               700.5758849037829                            1.6570043757752217                           
0.014104304601813875               681.3410679093076                            1.632672534088145                            
0.014252770357633827               661.8284990998155                            1.5938977593391785                           
0.014401236094341522               643.7652008528927                            1.558707822214815                            
0.01454970181173788                621.8855080892048                            1.5179999514845077                           
0.014698167509623827               607.839615659921                             1.512048201456449                            
0.014846633187800273               588.0975332841886                            1.4737527788664324                           
0.014995098846068143               571.484998659128                             1.4398011711473324                           
0.015143564484228354               555.3021837564972                            1.4124294942781221                           
0.015292030102081829               539.8154698900419                            1.3859475984847718                           
0.015440495699429483               519.9918623601802                            1.3613425308902634                           
0.015588961276072236               503.7806911608183                            1.3232302001383216                           
0.015737426831811008               491.21650422409476                           1.306625595398014                            
0.015885892366446726               475.23267530730095                           1.2743708005893428                           
0.016034357879780307               462.582449152231                             1.2468846694466642                           
0.01618282337161266                446.124242128852                             1.2394587738335985                           
0.016331288841744725               428.7526316859593                            1.1915266938813418                           
0.016479754289977413               419.22930840523827                           1.1764830794018424                           
0.016628219716111645               403.57942554886256                           1.1492486986506962                           
0.01677668511994834                390.60050196981473                           1.1240732746583988                           
0.01692515050128842                376.23398176173566                           1.1040045096507196                           
0.017073615859932813               366.29043501240943                           1.0709056442533826                           
0.017222081195682432               350.8700793047325                            1.0653726039909817                           
0.017370546508338205               341.6505318628448                            1.0292406293392773                           
0.017519011797701056               330.9214002658645                            1.0080824684126863                           
0.017667477063571902               319.3208446253249                            0.99710868219058                             
0.01781594230575167                308.49849158348644                           0.9660788541231277                           
0.01796440752404127                298.409853745664                             0.9572830173695043                           
0.018112872718241642               286.74539689865594                           0.927027633859344                            
0.018261337888153695               277.08070288666903                           0.9064368270133935                           
0.018409803033578365               268.94694127327716                           0.8930335071881493                           
0.01855826815431657                257.95749797465277                           0.8660486409219404                           
0.01870673325016923                248.67205763716038                           0.8542052946122481                           
0.018855198320937266               241.06178411107206                           0.84771673419934                             
0.019003663366421612               230.7291825947722                            0.8371795781044382                           
0.01915212838642319                222.55970399409767                           0.8233413992444862                           
0.019300593380742914               214.25103849839834                           0.812811623380405                            
0.019449058349181723               206.49459336568182                           0.8161267896709925                           
0.01959752329154053                199.49832128703076                           0.8033388130990184                           
0.019745988207620267               191.49317375447123                           0.8028516979562503                           
0.01989445309722186                185.20050300911817                           0.7949398055509647                           
0.020042917960146227               176.87117319069333                           0.7774500733372571                           
0.020191382796194295               171.07497793943412                           0.7681260977822492                           
0.020339847605166998               165.3737445272511                            0.7605018436263276                           
0.02048831238686525                156.48513783820482                           0.7444418036176333                           
0.020636777141089992               149.9424915497436                            0.7258520959900069                           
0.020785241867642135               144.09001168710174                           0.7206392510737093                           
0.020933706566322614               139.37644935585303                           0.709324760287638                            
0.02108217123693236                133.10736147995942                           0.6937475610285556                           
0.021230635879272285               127.4248845043219                            0.6843189063269246                           
0.02137910049314333                122.66516731587579                           0.6697716768559808                           
0.021527565078346418               116.4731432157771                            0.6547879754324024                           
0.02167602963468248                113.47801257231292                           0.6500610054285584                           
0.021824494161952434               108.28216338903414                           0.6398050630761636                           
0.021972958659957218               102.4824899449094                            0.6172524077792266                           
0.022121423128497752               98.751034485009                              0.5989973720464769                           
0.02226988756737498                94.00275388701326                            0.5834742494856581                           
0.022418351976389812               90.59811135550784                            0.5628949416646676                           
0.02256681635534319                86.21188971549083                            0.5508212844203947                           
0.022715280704036032               83.06866798456933                            0.5319889150682564                           
0.02286374502226928                78.40584266021416                            0.5110502998817119                           
0.023012209309843858               75.33891483757165                            0.5054823276659184                           
0.02316067356656069                71.76345199484834                            0.48568709014505423                          
0.02330913779222072                67.94364145026509                            0.4782273856923786                           
0.023457601986624867               63.42067988936349                            0.45196836237795474                          
0.023606066149574056               60.802713162857124                           0.44837759436123265                          
0.02375453028086924                58.17850603429927                            0.4363483404815946                           
0.023902994380311328               55.69741258861092                            0.4193587703765366                           
0.024051458447701273               52.13938220782224                            0.4103936782289053                           
0.024199922482839982               50.13863069600129                            0.3990078169700022                           
0.024348386485528405               47.205353351876                              0.3882617912977697                           
0.024496850455567463               45.68047904924465                            0.380855842021013                            
0.024645314392758102               42.48395693733564                            0.36046093451423655                          
0.024793778296901246               40.14934346577938                            0.3568020109118913                           
0.024942242167797817               38.21505180411542                            0.34280828031258975                          
0.025090706005248768               35.96904523202237                            0.3358221523894772                           
0.025239169809055023               33.905621910622365                           0.3222391396946099                           
0.02538763357901752                31.757250724819663                           0.31122596206304615                          
0.02553609731493718                30.089210018266087                           0.3039779403750753                           
0.02568456101661495                27.978598602891413                           0.290939070591191                            
0.025833024683851766               26.510635866878193                           0.28455110862157257                          
0.02598148831644856                25.574988201637577                           0.27611951896456566                          
0.026129951914206254               23.535888741296738                           0.26594649011220345                          
0.0262784154769258                 22.396880609010537                           0.2599547782449                              
0.02642687900440813                20.596912890549827                           0.2461626130916639                           
0.026575342496454178               19.615763537445275                           0.23991340346123674                          
0.02672380595286487                18.685582647166                              0.23369762144166378                          
0.026872269373441164               17.17826021361049                            0.2256978452328322                           
0.027020732757983973               16.039326990983053                           0.21708488919290583                          
0.027169196106294254               14.849436401864498                           0.2067212487873401                           
0.02731765941817293                13.898606816410565                           0.20168341404899476                          
0.02746612269342095                12.663329360683184                           0.19077684231235661                          
0.02761458593183925                11.87158002169504                            0.18412743872254378                          
0.027763049133228752               11.22630388474636                            0.1797416891826035                           
0.027911512297390414               10.586316342311827                           0.1731047824153136                           
0.028059975424125166               9.816103615898552                            0.16721741193703682                          
0.028208438513233944               8.913253449259395                            0.15913986912188155                          
0.028356901564517686               8.412393695784637                            0.1535374223794048                           
0.028505364577777352               7.706226044028902                            0.14695196474503233                          
0.028653827552813857               7.113979426739878                            0.14101610392240005                          
0.02880229048942815                6.493140578156929                            0.13480649376770817                          
0.02895075338742117                6.308424117523695                            0.1328751988774892                           
0.029099216246593868               5.819989982462447                            0.12598679546547872                          
0.02924767906674717                5.422321277714497                            0.12235296683055122                          
0.029396141847682022               4.903631377663159                            0.1156439644893092                           
0.02954460458919936                4.834002794419245                            0.11503011328727777                          
0.02969306729110015                4.4592379486858675                           0.10994556012078725                          
0.02984152995318531                4.20713664272108                             0.10679250140949943                          
0.029989992575255787               4.048333536440307                            0.1049481580361448                           
0.030138455157112522               4.0169312415014815                           0.10409911779495926                          
0.030286917698556473               3.749570607078887                            0.09950327242644022                          
0.030435380199388563               3.5417012815491815                           0.09763015616032734                          
0.030583842659409756               3.368071241661004                            0.09480944225055044                          
0.030732305078420976               3.3733094486285453                           0.09443453487118723                          
0.030880767456223177               3.280198593784441                            0.09345333066244216                          
0.031029229792617314               3.2271851102331635                           0.09171989624114706                          
0.03117769208740431                3.1954578043530835                           0.0917492846177323                           
0.03132615434038513                3.0613068132871604                           0.08938360200744157                          
0.03147461655136071                3.086084540075833                            0.08953639380291979                          
0.03162307872013199                3.272913031031057                            0.09231384204187441                          
0.03177154084649993                3.235629648027904                            0.09115353879188386                          
0.03192000293026547                3.1181579088107707                           0.0903150188939696                           
0.03206846497122955                3.216760668418168                            0.0903712818628922                           
0.032216926969193135               3.393110965930435                            0.09265816043844688                          
0.032365388923957156               3.409025225026449                            0.09361780467457272                          
0.03251385083532257                3.4602762662147613                           0.09362361891863112                          
0.03266231270309033                3.6188508274116957                           0.09651126789165967                          
0.032810774527061354               3.6915553218850445                           0.09589264090278384                          
0.03295923630703663                3.701286452808601                            0.0963406381937423                           
0.03310769804281709                3.7355496540155544                           0.09733143807365233                          
0.033256159734203684               4.103829495144233                            0.10093757849332753                          
0.03340462138099736                4.269932420132322                            0.10301712413598324                          
0.03355308298299907                4.347735417036759                            0.10366453103737765                          
0.03370154454000978                4.634500584618791                            0.10884388611105937                          
0.0338500060518304                 4.5793556197254                              0.10881658450693664                          
0.033998467518261924               4.895826853356905                            0.1133669942133548                           
0.03414692893910529                4.874613121147781                            0.11385678612772966                          
0.03429539031416144                4.939656875357135                            0.11578734307612394                          
0.03444385164323134                5.4934581953350134                           0.12130061247971455                          
0.034592312926115934               5.410010635859273                            0.11848001193395756                          
0.034740774162616166               5.273435721257883                            0.11590668474350922                          
0.034889235352533014               5.689289594269467                            0.11991411128781                             
0.03503769649566742                5.675152463824942                            0.11956303688995981                          
0.03518615759182033                6.100033549458365                            0.12354221197497998                          
0.0353346186407927                 6.176830521747283                            0.12356132517170088                          
0.03548307964238551                6.4465694257795905                           0.1267203979580788                           
0.03563154059639969                6.407043707493438                            0.12529156675413566                          
0.035780001502636195               6.6176382636935305                           0.1274037030629467                           
0.03592846236089599                6.766810348975247                            0.12813263215547466                          
0.036076923170980026               6.870202870324642                            0.12869069062067776                          
0.036225383932689266               6.735296007620575                            0.12797254374734426                          
0.03637384464582465                7.108387424925169                            0.13041266324264864                          
0.036522305310187166               7.304742758885015                            0.1327696211754184                           
0.03667076592557775                7.276003764610975                            0.13110448740503894                          
0.03681922649179736                7.385645888028953                            0.13194966249402917                          
0.03696768700864697                7.419607877791068                            0.13302428953863232                          
0.03711614747592752                7.582633154630598                            0.13306961523977803                          
