#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_28                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.3776028731281363e-06
# GlobalNormalization                               32.008203561521334
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3606491088867188
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)8SN_00197{00000}_AzInt_Px_28   Sig(q)8SN_00197{00000}_AzInt_Px_28 
0.03656472371929549                1.1410984867214742                 0.006184929206347011               
0.03671335675317976                1.1191077178931235                 0.006125043954446957               
0.0368619897377219                 1.1024097308384226                 0.006021310639820742               
0.03701062267272219                1.059875714137505                  0.005916478840198771               
0.03715925555798089                1.0365201613750474                 0.005847838874061991               
0.03730788839329828                1.023282290379634                  0.005801195939357433               
0.037456521178474596               0.9939362776442494                 0.0056905163216408325              
0.03760515391331015                0.9723103658920907                 0.005584763460630569               
0.037753786597605164               0.9534744903532953                 0.005579309748477536               
0.03790241923115994                0.9339679312382808                 0.005481991642044932               
0.038051051813774724               0.9204986125773246                 0.005450746588578629               
0.03819968434524979                0.8958803668846327                 0.005349802916749355               
0.03834831682538542                0.8959111685913729                 0.0053335605186160566              
0.03849694925398188                0.8690304913428155                 0.005290711033038935               
0.03864558163083943                0.8521001497928821                 0.005193608958404419               
0.03879421395575834                0.8474432922261519                 0.005176776973661188               
0.038942846228538906               0.825948942759431                  0.005059749785243501               
0.03909147844898136                0.8162833532762813                 0.005093619729760408               
0.03924011061688601                0.7937079309032774                 0.0049649431511115056              
0.0393887427320531                 0.7948658812694441                 0.004936769489772567               
0.039537374794282924               0.7748627830433233                 0.004879047445813243               
0.039686006803375744               0.7623957786475866                 0.004811336971293795               
0.039834638759131825               0.7524034336284993                 0.004805458378113324               
0.03998327066135146                0.7593169752119635                 0.0047830575396110185              
0.04013190250983492                0.7373472311674468                 0.0046863186638097095              
0.04028053430438246                0.7346874729521543                 0.004707117928573569               
0.04042916604479439                0.7223102405161698                 0.004640502271534501               
