#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_21                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.9589104683430584e-06
# GlobalNormalization                               45.514717087620085
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3574309349060059
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)emptycap_00190{00000}_AzInt_Px_21        Sig(q)emptycap_00190{00000}_AzInt_Px_21      
0.03388932089957531                0.027994948398234007                         0.0008212523159505875                        
0.03403795478746278                0.027658520247553733                         0.0008180989327494731                        
0.03418658862960341                0.028848862362527542                         0.000838757312289881                         
0.034335222425797444               0.028371082320233963                         0.0008421277394400177                        
0.034483856175845165               0.027509835765304014                         0.000839823719927931                         
0.03463248987954682                0.027529301078525113                         0.0008415952908169769                        
0.034781123536702666               0.0284034610270378                           0.0008634906367605059                        
0.03492975714711298                0.0274388461697221                           0.000847184693997836                         
0.03507839071057801                0.02850423168687989                          0.0008398139799293847                        
0.03522702422689801                0.029539044569721326                         0.0008617424970036661                        
0.03537565769587327                0.027721949506877758                         0.0008235857301781737                        
0.03552429111730402                0.02699140857528583                          0.0008149336209989557                        
0.035672924490990535               0.027023928757191215                         0.0008082162637848144                        
0.03582155781673309                0.029415752029322024                         0.0008390812459028292                        
0.03597019109433192                0.027140525946972992                         0.0008153580798925907                        
0.03611882432358732                0.02910830837784404                          0.0008266204109054754                        
0.03626745750429954                0.028116621250125557                         0.0008198973256416916                        
0.03641609063626884                0.027751764879497494                         0.0008058389644963808                        
0.03656472371929549                0.027417983078829148                         0.0008039807431456704                        
0.03671335675317976                0.02597990601867989                          0.0007826124967633953                        
0.0368619897377219                 0.026736608386509843                         0.0007863708348973484                        
0.03701062267272219                0.02636191799265755                          0.0007824905005695516                        
0.03715925555798089                0.02672852381329538                          0.0007874966849786367                        
0.03730788839329828                0.02493261461992749                          0.0007593787567981295                        
0.037456521178474596               0.0252485156825093                           0.0007605802685987699                        
0.03760515391331015                0.025919948406845385                         0.0007646701168825677                        
