#DOI-https://pubs.acs.org/doi/10.1021/acs.nanolett.4c04923.Solvent file for truncated tetrahedron ,solvent was 2.5 milimolar CTSE.It was measured in october 2023 at SWING beam line at SOLEIL cynclotron. 
#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        1.2897300720214844
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_263
# img{1}_AzInt_Px_264
# img{2}_AzInt_Px_265
# img{3}_AzInt_Px_266
# img{4}_AzInt_Px_267
#
#####################################################################################################
q(A-1)                             I(q)Ave_363_CTAC_2p5_00021AzInt_Px           Sig(q)Ave_363_CTAC_2p5_00021AzInt_Px         
0.023943480364368268               5.679256237560836                            0.05280803164357817                          
0.024090371158478802               5.506868488154893                            0.05229953036759314                          
0.024237261920966584               5.510282778644614                            0.05179515640156544                          
0.024384152651638843               5.364637664426721                            0.05060755007303079                          
0.02453104335030275                5.350832163402232                            0.051004287414241664                         
0.024677934016765508               5.300603680234348                            0.050027975019608165                         
0.024824824650834302               5.199946564709752                            0.04982475518094791                          
0.024971715252316316               5.135172822455624                            0.04937667394086065                          
0.025118605821018773               5.013863883347274                            0.04875649303330035                          
0.02526549635674884                4.884281191458499                            0.04789202691868091                          
0.0254123868593137                 4.847423836656456                            0.04754891805933731                          
0.025559277328520584               4.7534641858745825                           0.047182105271923604                         
0.02570616776417666                4.767097918622768                            0.04702644341166835                          
0.02585305816608912                4.727909232831848                            0.04652004209478837                          
0.025999948534065172               4.60692485636913                             0.046136206150981865                         
0.026146838867912                  4.571660558850599                            0.0457143313941555                           
0.026293729167436806               4.505838656813599                            0.045384062520256216                         
0.026440619432446785               4.4671156008220665                           0.04489167796689385                          
0.02658750966274912                4.35944752654048                             0.04431835525956897                          
0.026734399858151025               4.464303053215071                            0.04502512518931942                          
0.026881290018459687               4.259002727783483                            0.04357735541279882                          
0.02702818014348229                4.243977232163912                            0.04352855483796617                          
0.027175070233026052               4.189512264864362                            0.04308110975211921                          
0.02732196028689816                4.192459058875494                            0.043040925404651154                         
0.027468850304905812               4.1119826511997655                           0.04265304560801983                          
0.027615740286856212               4.094030788821163                            0.0424782614228123                           
0.027762630232556536               4.026201264559846                            0.04175201745547087                          
0.027909520141814                  3.916963477909178                            0.04136433496654921                          
0.028056410014435807               3.9048607293449997                           0.041248027938254                            
0.02820329985022913                3.969556755723925                            0.04150976448925092                          
0.028350189649001198               3.862957696970026                            0.04054161600873453                          
0.028497079410559196               3.794883414116819                            0.04023247511740536                          
0.028643969134710314               3.827259231508684                            0.04058027745397619                          
0.028790858821261773               3.681288656592625                            0.0396502882463502                           
0.028937748470020747               3.6775187451947815                           0.03931433913372671                          
0.02908463808079444                3.643413437059548                            0.03925145146215463                          
0.02923152765339008                3.626451091316234                            0.039016669442206116                         
0.029378417187614848               3.5157415852666842                           0.03844006249430509                          
0.02952530668327594                3.6184322871588783                           0.03883163338861338                          
0.029672196140180566               3.5784853765484903                           0.03850061098345599                          
0.02981908555813591                3.522962851013368                            0.03829308404995474                          
0.029965974936949205               3.48120624578394                             0.037836972746288756                         
0.030112864276427634               3.3608497334379335                           0.03724405730940193                          
0.0302597535763784                 3.3592966753463878                           0.03694883662171945                          
0.030406642836608707               3.3561758071940466                           0.03708539085498172                          
0.030553532056925747               3.3650635555978625                           0.03704589468527551                          
0.03070042123713675                3.3047888273185952                           0.036647565975280696                         
0.030847310377048902               3.287347421986142                            0.0363159769990823                           
0.030994199476469402               3.282690528565798                            0.03626895795034529                          
0.03114108853520547                3.2454414903049646                           0.0360626962135428                           
0.0312879775530643                 3.1485417782551837                           0.035686845104096504                         
